SERIE_001,NETFLIX,16
SERIE_002,DISNEY,16
SERIE_003,STAR,12
SERIE_004,AMAZON,10
SERIE_005,NETFLIX,8
SERIE_006,NETFLIX,11
SERIE_007,STAR,15
SERIE_008,NETFLIX,8
SERIE_009,NETFLIX,16
SERIE_010,STAR,16
SERIE_011,NETFLIX,8
SERIE_012,DISNEY,8
SERIE_013,HBO,15
SERIE_014,AMAZON,7
SERIE_015,HBO,14
SERIE_016,STAR,7
SERIE_017,STAR,14
SERIE_018,AMAZON,11
SERIE_019,STAR,7
SERIE_020,AMAZON,13
SERIE_021,NETFLIX,7
SERIE_022,HBO,12
SERIE_023,STAR,7
SERIE_024,NETFLIX,9
SERIE_025,NETFLIX,7
SERIE_026,HBO,15
SERIE_027,STAR,16
SERIE_028,AMAZON,11
SERIE_029,NETFLIX,16
SERIE_030,STAR,14
SERIE_031,STAR,13
SERIE_032,DISNEY,15
SERIE_033,STAR,7
SERIE_034,NETFLIX,15
SERIE_035,NETFLIX,10
SERIE_036,DISNEY,12
SERIE_037,AMAZON,14
SERIE_038,DISNEY,13
SERIE_039,HBO,8
SERIE_040,AMAZON,10
SERIE_041,NETFLIX,8
SERIE_042,DISNEY,12
SERIE_043,NETFLIX,9
SERIE_044,STAR,16
SERIE_045,HBO,16
SERIE_046,NETFLIX,10
SERIE_047,NETFLIX,14
SERIE_048,HBO,8
SERIE_049,NETFLIX,14
SERIE_050,DISNEY,8
SERIE_051,NETFLIX,15
SERIE_052,AMAZON,12
SERIE_053,NETFLIX,7
SERIE_054,AMAZON,16
SERIE_055,HBO,8
SERIE_056,AMAZON,13
SERIE_057,HBO,13
SERIE_058,NETFLIX,11
SERIE_059,NETFLIX,14
SERIE_060,NETFLIX,12
SERIE_061,DISNEY,11
SERIE_062,STAR,11
SERIE_063,HBO,10
SERIE_064,DISNEY,11
SERIE_065,DISNEY,8
SERIE_066,NETFLIX,7
SERIE_067,AMAZON,10
SERIE_068,DISNEY,8
SERIE_069,DISNEY,8
SERIE_070,AMAZON,14
SERIE_071,DISNEY,10
SERIE_072,AMAZON,14
SERIE_073,HBO,16
SERIE_074,HBO,10
SERIE_075,HBO,8
SERIE_076,NETFLIX,13
SERIE_077,HBO,7
SERIE_078,HBO,9
SERIE_079,NETFLIX,8
SERIE_080,STAR,10
SERIE_081,HBO,10
SERIE_082,HBO,15
SERIE_083,STAR,9
SERIE_084,HBO,10
SERIE_085,NETFLIX,16
SERIE_086,DISNEY,15
SERIE_087,AMAZON,15
SERIE_088,STAR,14
SERIE_089,DISNEY,9
SERIE_090,STAR,14
SERIE_091,STAR,7
SERIE_092,DISNEY,9
SERIE_093,STAR,14
SERIE_094,DISNEY,10
SERIE_095,HBO,7
SERIE_096,DISNEY,13
SERIE_097,STAR,10
SERIE_098,DISNEY,10
SERIE_099,NETFLIX,10
SERIE_100,DISNEY,8
SERIE_101,NETFLIX,16
SERIE_102,HBO,7
SERIE_103,AMAZON,7
SERIE_104,AMAZON,14
SERIE_105,AMAZON,16
SERIE_106,NETFLIX,13
SERIE_107,HBO,8
SERIE_108,DISNEY,10
SERIE_109,HBO,9
SERIE_110,STAR,9
SERIE_111,DISNEY,13
SERIE_112,STAR,16
SERIE_113,AMAZON,12
SERIE_114,DISNEY,13
SERIE_115,AMAZON,8
SERIE_116,AMAZON,12
SERIE_117,AMAZON,7
SERIE_118,DISNEY,9
SERIE_119,DISNEY,13
SERIE_120,DISNEY,10
SERIE_121,STAR,16
SERIE_122,AMAZON,15
SERIE_123,NETFLIX,7
SERIE_124,STAR,11
SERIE_125,NETFLIX,16
SERIE_126,AMAZON,16
SERIE_127,DISNEY,13
SERIE_128,HBO,15
SERIE_129,DISNEY,10
SERIE_130,NETFLIX,11
SERIE_131,NETFLIX,11
SERIE_132,DISNEY,15
SERIE_133,NETFLIX,16
SERIE_134,DISNEY,14
SERIE_135,DISNEY,10
SERIE_136,AMAZON,10
SERIE_137,HBO,9
SERIE_138,AMAZON,13
SERIE_139,DISNEY,12
SERIE_140,NETFLIX,15
SERIE_141,AMAZON,13
SERIE_142,STAR,13
SERIE_143,STAR,15
SERIE_144,HBO,15
SERIE_145,STAR,8
SERIE_146,NETFLIX,8
SERIE_147,STAR,14
SERIE_148,NETFLIX,10
SERIE_149,DISNEY,9
SERIE_150,AMAZON,11
SERIE_151,STAR,8
SERIE_152,DISNEY,8
SERIE_153,AMAZON,9
SERIE_154,STAR,16
SERIE_155,AMAZON,14
SERIE_156,DISNEY,15
SERIE_157,STAR,12
SERIE_158,DISNEY,9
SERIE_159,AMAZON,15
SERIE_160,AMAZON,7
SERIE_161,NETFLIX,15
SERIE_162,DISNEY,15
SERIE_163,HBO,9
SERIE_164,DISNEY,9
SERIE_165,HBO,10
SERIE_166,NETFLIX,9
SERIE_167,STAR,14
SERIE_168,NETFLIX,10
SERIE_169,AMAZON,10
